,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,14.0,79,90,9.22,CA,1615090831
1,tres arroyos,46.3231,11.0969,33.01,100,90,4.61,IT,1615090831
2,savannah bight,32.0835,-81.0998,44.6,65,1,4.47,US,1615090825
3,hamilton,39.1834,-84.5333,34.0,80,1,1.16,US,1615090832
4,hilo,19.7297,-155.09,73.4,73,75,6.91,US,1615090832
5,salalah,17.0151,54.0924,75.2,64,0,1.14,OM,1615090832
6,gorontalo,0.5412,123.0595,89.82,55,39,2.06,ID,1615090645
7,cape town,-36.413,-71.9028,59.0,82,0,5.5,CL,1615090832
8,ushuaia,-54.8,-68.3,48.2,40,20,12.66,AR,1615090833
9,barrow,71.2906,-156.7887,-9.4,70,1,13.8,US,1615090613
10,albany,42.6001,-73.9662,23.0,71,19,1.99,US,1615090833
11,newcastle,-32.9272,151.7765,77.0,53,40,12.66,AU,1615090833
12,ulaanbaatar,47.9077,106.8832,24.8,46,0,2.24,MN,1615090543
13,lakhipur,26.0299,90.3041,79.02,43,0,11.27,IN,1615090833
14,bethel,41.3712,-73.414,24.8,54,90,5.28,US,1615090834
15,kahului,20.8947,-156.47,73.4,68,40,16.11,US,1615090834
16,port alfred,-7.0349,29.7638,73.06,74,100,8.41,CD,1615090834
17,taksimo,56.3444,114.8794,3.81,87,82,3.51,RU,1615090834
18,busselton,-33.65,115.3333,75.99,69,19,1.99,AU,1615090834
19,norman wells,35.2226,-97.4395,50.0,53,1,9.22,US,1615090834
20,dikson,73.5069,80.5464,-19.46,88,100,12.88,RU,1615090834
21,rikitea,-23.1203,-134.9692,80.24,80,86,14.23,PF,1615090835
22,hermanus,-34.4187,19.2345,63.0,89,5,5.84,ZA,1615090835
23,butaritari,3.0707,172.7902,80.47,80,32,12.59,KI,1615090835
24,kapaa,22.0752,-159.319,71.6,78,90,20.71,US,1615090835
25,geraldton,-28.7667,114.6,93.2,29,0,11.5,AU,1615090835
26,hobart,-42.8794,147.3294,70.0,59,75,14.97,AU,1615090835
27,airai,-8.9266,125.4092,74.62,76,30,2.17,TL,1615090835
28,castro,-24.7911,-50.0119,60.06,95,3,2.33,BR,1615090836
29,cherskiy,68.75,161.3,-9.9,88,100,8.79,RU,1615090836
30,vaini,-21.2,-175.2,86.0,70,75,13.8,TO,1615090836
31,provideniya,64.3833,-173.3,3.78,91,100,6.29,RU,1615090836
